region,year,month,deaths,from_covid,with_covid,stopcoronavirus
Алтайский край,2016,1,2810,0,0,0
Алтайский край,2016,2,2777,0,0,0
Алтайский край,2016,3,3017,0,0,0
Алтайский край,2016,4,2665,0,0,0
Алтайский край,2016,5,2923,0,0,0
Алтайский край,2016,6,2877,0,0,0
Алтайский край,2016,7,2582,0,0,0
Алтайский край,2016,8,2751,0,0,0
Алтайский край,2016,9,2597,0,0,0
Алтайский край,2016,10,2655,0,0,0
Алтайский край,2016,11,2880,0,0,0
Алтайский край,2016,12,2763,0,0,0
Алтайский край,2017,1,3163,0,0,0
Алтайский край,2017,2,2635,0,0,0
Алтайский край,2017,3,2925,0,0,0
Алтайский край,2017,4,2685,0,0,0
Алтайский край,2017,5,3046,0,0,0
Алтайский край,2017,6,2813,0,0,0
Алтайский край,2017,7,2386,0,0,0
Алтайский край,2017,8,2858,0,0,0
Алтайский край,2017,9,2483,0,0,0
Алтайский край,2017,10,2763,0,0,0
Алтайский край,2017,11,2646,0,0,0
Алтайский край,2017,12,2560,0,0,0
Алтайский край,2018,1,3120,0,0,0
Алтайский край,2018,2,2625,0,0,0
Алтайский край,2018,3,2904,0,0,0
Алтайский край,2018,4,2754,0,0,0
Алтайский край,2018,5,3052,0,0,0
Алтайский край,2018,6,2811,0,0,0
Алтайский край,2018,7,2771,0,0,0
Алтайский край,2018,8,2816,0,0,0
Алтайский край,2018,9,2445,0,0,0
Алтайский край,2018,10,2823,0,0,0
Алтайский край,2018,11,2575,0,0,0
Алтайский край,2018,12,2547,0,0,0
Алтайский край,2019,1,3284,0,0,0
Алтайский край,2019,2,2632,0,0,0
Алтайский край,2019,3,2688,0,0,0
Алтайский край,2019,4,2840,0,0,0
Алтайский край,2019,5,2819,0,0,0
Алтайский край,2019,6,2550,0,0,0
Алтайский край,2019,7,2879,0,0,0
Алтайский край,2019,8,2569,0,0,0
Алтайский край,2019,9,2455,0,0,0
Алтайский край,2019,10,2857,0,0,0
Алтайский край,2019,11,2564,0,0,0
Алтайский край,2019,12,2647,0,0,0
Алтайский край,2020,1,2822,0,0,0
Алтайский край,2020,2,2478,0,0,0
Алтайский край,2020,3,2582,0,0,0
Алтайский край,2020,4,2619,1,0,1
Алтайский край,2020,5,2625,11,13,11
Алтайский край,2020,6,2567,23,31,21
Алтайский край,2020,7,2938,54,69,33
Алтайский край,2020,8,2625,44,85,53
Алтайский край,2020,9,3019,86,106,87
Амурская область,2016,1,913,0,0,0
Амурская область,2016,2,923,0,0,0
Амурская область,2016,3,984,0,0,0
Амурская область,2016,4,843,0,0,0
Амурская область,2016,5,891,0,0,0
